n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock,State
107.00,41.98,2269.18,101.29,510.35,817.84,6.79,31.65,5.74,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.26,%sSafe
108.00,104.45,2269.18,101.29,510.35,817.84,6.79,32.46,5.84,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.68,31236.36,%sSafe
109.00,39.00,2269.19,101.59,510.01,817.84,6.79,32.46,5.84,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.30,-7.68,31236.40,%sSafe
110.00,38.69,2269.25,101.59,510.01,817.73,7.00,32.26,6.53,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31236.44,%sSafe
111.00,38.40,2269.25,101.41,510.02,817.51,6.55,32.26,5.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.69,31236.48,%sSafe
112.00,53.99,2269.25,101.41,510.02,817.51,6.55,32.15,5.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.29,-7.71,31236.53,%sSafe
113.00,57.07,2269.25,101.41,510.02,817.51,6.55,32.15,5.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31236.59,%sSafe
114.00,48.93,2268.73,100.98,509.99,817.51,6.55,32.15,5.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31236.64,%sSafe
115.00,39.02,2268.73,100.98,509.99,817.84,6.80,32.33,5.68,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.71,31236.68,%sSafe
116.00,36.01,2269.06,102.00,510.00,817.84,6.80,32.33,5.68,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.73,31236.71,%sSafe
117.00,35.00,2269.06,102.00,510.00,817.38,6.80,32.45,5.66,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.75,%sSafe
118.00,47.01,2269.21,100.99,510.11,817.38,6.80,32.45,5.66,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.80,%sSafe
119.00,46.96,2269.21,100.99,510.11,817.80,6.81,32.19,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.84,%sSafe
120.00,39.07,2269.20,101.28,510.11,817.80,6.81,32.19,6.07,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.31,-7.69,31236.88,%sSafe
