Logging,,Pressures (psi),,,,,,,Temperatures (K),,,Valves,,,,,,Force (kg),,Sequence,,,
n,deltaTime,Nitrogen Pressure,Pneumatic Circuit Pressure,Purge Circuit Pressure,Oxidizer Fill Pressure,Oxidizer Tank Pressure,Fuel Tank Pressure,Chamber Pressure 1,Igniter Temperature,Oxidizer Bulkhead Temperature,Fuel Bulkhead Temperature,Nitrogen Purge Valve,Oxidizer Fill Valve,GSE Oxidizer Dump Valve,Tank Oxidizer Dump Valve,Main Oxidizer Valve,Main Fuel Valve,Total Tank Mass,Thrust,System Clock (s),State,,
70,24.11,1724.42,107.78,549.58,819.61,7.24,4.82,11.49,0,0,0,0,0,0,1,100,100,2.36,0.1,11930.36,%sPre-ignition Purge,,
71,26.3,1724.37,107.67,549.58,819.61,7.24,4.82,11.49,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.38,%sPre-ignition Purge,,
72,23.94,1724.37,107.67,549.57,819.64,7.24,4.82,11.49,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.41,%sPre-ignition Purge,,
73,22.17,1724.37,107.67,549.57,819.64,7.23,4.82,11.49,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.43,%sPre-ignition Purge,,
74,24.05,1724.37,107.67,549.57,819.64,7.23,4.9,11.48,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.45,%sPre-ignition Purge,,
75,27.64,1724.41,107.74,549.63,819.64,7.23,4.9,11.48,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.48,%sPre-ignition Purge,,
76,23.02,1724.41,107.74,549.63,819.75,7.31,4.9,11.48,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.5,%sPre-ignition Purge,,
77,26.2,1724.41,107.74,549.63,819.75,7.31,4.91,11.54,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.53,%sPre-ignition Purge,,
78,24.1,1724.41,107.74,549.63,819.75,7.31,4.91,11.54,0,0,0,0,0,0,1,100,100,2.35,0.11,11930.55,%sPre-ignition Purge,,
79,23.65,1724.52,107.88,549.65,819.75,7.31,4.91,11.54,0,0,0,0,0,0,1,100,100,2.35,0.11,11930.58,%sPre-ignition Purge,,
80,25.8,1724.52,107.88,549.65,819.77,7.26,4.91,11.54,0,0,0,0,0,0,1,100,100,2.35,0.11,11930.6,%sPre-ignition Purge,,
81,26.18,1724.52,107.88,549.65,819.77,7.26,4.85,11.43,0,0,0,0,0,0,1,100,100,2.35,0.11,11930.63,%sPre-ignition Purge,,
82,28.16,1724.52,107.88,549.65,819.77,7.26,4.85,11.43,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.66,%sPre-ignition Purge,,
83,24.04,1723.92,107.81,549.7,820.02,7.26,4.85,11.43,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.68,%sPre-ignition Purge,,
84,23.06,1723.92,107.81,549.7,820.02,8.8,4.85,11.43,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.7,%sPre-ignition Purge,,
85,26.58,1723.92,107.81,549.7,820.02,8.8,6.1,12.57,0,0,0,0,0,0,1,100,100,2.35,0.1,11930.73,%sPre-ignition Purge,,
86,26.62,1723.92,107.81,549.7,820.02,8.8,6.1,12.57,0,0,0,0,0,0,1,100,100,2.36,0.12,11930.76,%sPre-ignition Purge,,
87,26.61,1724.6,108.03,549.92,820.19,8.8,6.1,12.57,0,0,0,0,0,0,1,100,100,2.36,0.12,11930.78,%sPre-ignition Purge,,
88,25.24,1724.6,108.03,549.92,820.19,9.08,6.1,12.57,0,0,0,0,0,0,1,100,100,2.36,0.12,11930.81,%sPre-ignition Purge,,
89,24.11,1724.6,108.03,549.92,820.19,9.08,6.36,12.79,0,0,0,0,0,0,1,100,100,2.36,0.12,11930.83,%sPre-ignition Purge,,
90,22.28,1724.6,108.03,549.92,820.19,9.08,6.36,12.79,0,0,0,0,0,0,1,100,100,2.36,0.13,11930.86,%sPre-ignition Purge,,
91,22.8,1725.06,108.35,550.07,820.19,9.08,6.36,12.79,0,0,0,0,0,0,1,100,100,2.37,0.13,11930.88,%sPre-ignition Purge,,
92,25.15,1725.06,108.35,550.07,820.37,9.61,6.36,12.79,0,0,0,0,0,0,1,100,100,2.37,0.13,11930.9,%sPre-ignition Purge,,
93,24.13,1725.06,108.35,550.07,820.37,9.61,6.8,12.79,0,0,0,0,0,0,1,100,100,2.37,0.13,11930.93,%sPre-ignition Purge,,
94,29.34,1725.06,108.35,550.07,820.37,9.61,6.8,13.25,0,0,0,0,0,0,1,100,100,2.37,0.14,11930.96,%sPre-ignition Purge,,
95,22.15,1725.32,108.45,550.07,820.37,9.61,6.8,13.25,0,0,0,0,0,0,1,100,100,2.37,0.14,11930.98,%sPre-ignition Purge,,
96,29.19,1725.32,108.45,550.15,820.46,9.87,6.8,13.25,0,0,0,0,0,0,1,100,100,2.37,0.14,11931.01,%sPre-ignition Purge,,
97,25.09,1725.32,108.45,550.15,820.46,9.87,7.02,13.25,0,0,0,0,0,0,1,100,100,2.37,0.14,11931.03,%sPre-ignition Purge,,
98,26.69,1725.6,108.45,550.15,820.46,9.87,7.02,13.56,0,0,0,0,0,0,1,100,100,2.37,0.15,11931.06,%sPre-ignition Purge,,
99,27.19,1725.6,108.5,550.21,820.46,9.87,7.02,13.56,0,0,0,0,0,0,1,100,100,2.37,0.15,11931.09,%sPre-ignition Purge,,
100,40.79,1725.6,108.5,550.21,820.47,9.95,6.98,13.56,0,0,0,0,0,0,1,100,100,2.37,0.15,11931.13,%sPre-ignition Purge,,
101,22.26,1725.6,108.5,550.21,820.47,9.95,6.98,13.86,0,0,0,0,0,0,1,100,100,2.37,0.15,11931.15,%sPre-ignition Purge,,
102,27.01,1725.6,108.5,550.21,820.47,9.95,6.98,13.86,0,0,0,0,0,0,1,100,100,2.36,0.13,11931.18,%sPre-ignition Purge,,
103,26.64,1724.78,108.18,550.21,820.47,9.95,6.98,13.86,0,0,0,0,0,0,1,100,100,2.36,0.13,11931.2,%sPre-ignition Purge,,
104,24.2,1724.78,108.18,550.01,820.29,9.95,6.98,13.86,0,0,0,0,0,0,1,100,100,2.36,0.13,11931.23,%sPre-ignition Purge,,
105,27.96,1724.78,108.18,550.01,820.29,9.45,6.39,13.86,0,0,0,0,0,0,1,100,100,2.36,0.13,11931.26,%sPre-ignition Purge,,
106,26.46,1724.78,108.18,550.01,820.29,9.45,6.39,13.86,0,0,0,0,0,0,1,100,100,2.36,0.13,11931.28,%sPre-ignition Purge,,
107,28.31,1724.19,108.18,550.01,820.29,9.45,6.39,13.19,0,0,0,0,0,0,1,100,100,2.36,0.11,11931.31,%sPre-ignition Purge,,
108,28.34,1724.19,107.95,549.87,820.29,9.45,6.39,13.19,0,0,0,0,0,0,1,100,100,2.36,0.11,11931.34,%sPre-ignition Purge,,
109,26.59,1724.19,107.95,549.87,820.08,9.45,6.39,13.19,0,0,0,0,0,0,1,100,100,2.36,0.11,11931.37,%sPre-ignition Purge,,
110,22.19,1724.19,107.95,549.87,820.08,8.77,5.63,12.64,0,0,0,0,0,0,1,100,100,2.36,0.11,11931.39,%sPre-ignition Purge,,
111,27.99,1723.41,107.95,549.87,820.08,8.77,5.63,12.64,0,0,0,0,0,0,1,100,100,2.35,0.09,11931.42,%sPre-ignition Purge,,
112,22.43,1723.41,107.71,549.87,820.08,8.77,5.63,12.64,0,0,0,0,0,0,1,100,100,2.35,0.09,11931.44,%sPre-ignition Purge,,
113,27.2,1723.41,107.71,549.64,820.08,8.77,5.63,12.64,0,0,0,0,0,0,1,100,100,2.35,0.09,11931.47,%sPre-ignition Purge,,
114,21.47,1723.41,107.71,549.64,819.86,8.21,5.63,12.64,0,0,0,0,0,0,1,100,100,2.35,0.09,11931.49,%sPre-ignition Purge,,
115,25.18,1723.41,107.71,549.64,819.86,8.21,4.99,12.09,0,0,0,0,0,0,1,100,100,2.35,0.08,11931.51,%sPre-ignition Purge,,
116,31.69,1722.78,107.25,549.64,819.86,8.21,4.99,12.09,0,0,0,0,0,0,1,100,100,2.35,0.08,11931.54,%sPre-ignition Purge,,
117,41.21,1722.78,107.25,549.42,819.62,8.21,4.99,12.09,0,0,0,0,0,0,1,100,100,2.35,0.08,11931.59,%sPre-ignition Purge,,
118,29.07,1722.78,107.25,549.42,819.62,7.57,4.35,12.09,0,0,0,0,0,0,1,100,100,2.35,0.08,11931.61,%sPre-ignition Purge,,
119,32.95,1722.78,107.25,549.42,819.62,7.57,4.35,11.45,0,0,0,0,0,0,1,100,100,2.34,0.06,11931.65,%sPre-ignition Purge,,
120,24.99,1720.39,106.66,549.42,819.62,7.57,4.35,11.45,0,0,0,0,0,0,1,100,100,2.34,0.06,11931.67,%sPre-ignition Purge,,
121,25.07,1720.39,106.66,532.29,819.41,7.02,4.35,11.45,0,0,0,0,0,0,1,100,100,2.34,0.06,11931.7,%sPre-ignition Purge,,
122,25.74,1720.39,106.66,532.29,819.41,7.02,3.84,10.92,0,0,0,0,0,0,1,100,100,2.34,0.06,11931.72,%sPre-ignition Purge,,
123,29.88,1720.39,106.66,532.29,819.41,7.02,3.84,10.92,0,0,0,0,0,0,1,100,100,2.34,0.05,11931.75,%sPre-ignition Purge,,
124,24.23,1717.55,106.22,532.29,819.41,7.02,3.84,10.92,0,0,0,0,0,0,1,100,100,2.34,0.05,11931.78,%sPre-ignition Purge,,
125,27.79,1717.55,106.22,510.48,818.99,7.02,3.84,10.92,0,0,0,0,0,0,1,100,100,2.34,0.05,11931.8,%sPre-ignition Purge,,
126,24.73,1717.55,106.22,510.48,818.99,5.06,3.84,10.92,0,0,0,0,0,0,1,100,100,2.34,0.05,11931.83,%sPre-ignition Purge,,
127,27.61,1717.55,106.22,510.48,818.99,5.06,2.33,9.24,0,0,0,0,0,0,1,100,100,2.34,0,11931.86,%sPre-ignition Purge,,
128,27.2,1713.37,105.97,510.48,818.99,5.06,2.33,9.24,0,0,0,0,0,0,1,100,100,2.32,0,11931.88,%sPre-ignition Purge,,
129,23.59,1713.37,105.97,488.76,818.99,5.06,2.33,9.24,0,0,0,0,0,0,1,100,100,2.32,0,11931.91,%sPre-ignition Purge,,
130,25.88,1713.37,105.97,488.76,818.73,4.74,2.33,9.24,0,0,0,0,0,0,1,100,100,2.32,0,11931.93,%sPre-ignition Purge,,
131,27.81,1713.37,105.97,488.76,818.73,4.74,1.84,8.47,0,0,0,0,0,0,1,100,100,2.32,-0.03,11931.96,%sPre-ignition Purge,,
132,28.5,1709.35,105.58,488.76,818.73,4.74,1.84,8.47,0,0,0,0,0,0,1,100,100,2.31,-0.03,11931.99,%sPre-ignition Purge,,
133,24.31,1709.35,105.58,467.09,818.73,4.74,1.84,8.47,0,0,0,0,0,0,1,100,100,2.31,-0.03,11932.01,%sPre-ignition Purge,,
134,22.73,1709.35,105.58,467.09,818.37,4.74,1.84,8.47,0,0,0,0,0,0,1,100,100,2.31,-0.03,11932.04,%sPre-ignition Purge,,
135,24.13,1709.35,105.58,467.09,818.37,4.48,1.34,7.59,0,0,0,0,0,0,1,100,100,2.31,-0.04,11932.06,%sPre-ignition Purge,,
136,28.84,1705.19,105.4,467.09,818.37,4.48,1.34,7.59,0,0,0,0,0,0,1,100,100,2.31,-0.04,11932.09,%sPre-ignition Purge,,
137,38.27,1705.19,105.4,445.44,818.07,4.48,1.34,7.59,0,0,0,0,0,0,1,100,100,2.31,-0.04,11932.13,%sPre-ignition Purge,,
138,23.01,1705.19,105.4,445.44,818.07,4.43,1.34,7.59,0,0,0,0,0,0,1,100,100,2.31,-0.04,11932.15,%sPre-ignition Purge,,
139,24.23,1705.19,105.4,445.44,818.07,4.43,1.08,6.77,0,0,0,0,0,0,1,100,100,2.31,-0.06,11932.18,%sPre-ignition Purge,,
140,26.84,1700.76,105.14,423.76,818.07,4.43,1.08,6.77,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.2,%sPre-ignition Purge,,
141,25.7,1700.76,105.14,423.76,817.84,4.43,1.08,6.77,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.23,%sPre-ignition Purge,,
142,22.37,1700.76,105.14,423.76,817.84,4.65,1.13,6.77,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.25,%sPre-ignition Purge,,
143,24.93,1700.76,105.14,423.76,817.84,4.65,1.13,6.03,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.28,%sPre-ignition Purge,,
144,21.58,1697.11,105.24,423.76,817.84,4.65,1.13,6.03,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.3,%sPre-ignition Purge,,
145,25.02,1697.11,105.24,402.44,817.91,5.9,1.13,6.03,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.32,%sPre-ignition Purge,,
146,22.24,1697.11,105.24,402.44,817.91,5.9,2.24,6.18,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.34,%sPre-ignition Purge,,
147,26.23,1693.32,105.24,402.44,817.91,5.9,2.24,6.18,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.37,%sPre-ignition Purge,,
148,26.59,1693.32,105.38,402.44,817.91,5.9,2.24,6.18,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.4,%sPre-ignition Purge,,
149,22.77,1693.32,105.38,381.13,818,7.41,3.62,6.18,0,0,0,0,0,0,1,100,100,2.3,-0.07,11932.42,%sPre-ignition Purge,,
150,30.32,1693.32,105.38,381.13,818,7.41,3.62,6.24,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.45,%sPre-ignition Purge,,
151,31.64,1689.37,105.53,359.73,818,7.41,3.62,6.24,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.48,%sPre-ignition Purge,,
152,26.51,1689.37,105.53,359.73,818,7.41,3.62,6.24,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.51,%sPre-ignition Purge,,
153,27.09,1689.37,105.53,359.73,818.02,7.41,3.62,6.24,0,0,0,0,0,0,1,100,100,2.3,-0.06,11932.54,%sPre-ignition Purge,,
154,24.67,1689.37,105.53,359.73,818.02,9.1,5.11,6.43,0,0,0,0,0,0,1,0,0,2.3,-0.06,11932.56,%sPre-ignition Purge,,
155,38.19,1689.37,105.53,359.73,818.02,9.1,5.11,6.43,0,0,0,0,0,0,1,0,0,2.3,-0.06,11932.6,%sPre-ignition Purge,,
156,22.65,1685.06,105.87,359.73,818.02,9.1,5.11,6.43,0,0,0,0,0,0,1,0,0,2.3,-0.06,11932.62,%sPre-ignition Purge,,
157,28.59,1685.06,105.87,338.28,818.05,9.1,5.11,6.43,0,0,0,0,0,0,1,0,0,2.3,-0.06,11932.65,%sPre-ignition Purge,,
158,20.14,1685.06,105.87,338.28,818.05,10.7,6.52,6.4,0,0,0,0,0,0,1,0,0,2.3,-0.06,11932.67,%sPre-ignition Purge,,
159,23.03,1685.06,105.87,338.28,818.05,10.7,6.52,6.4,0,0,0,0,0,0,1,0,0,2.29,-0.06,11932.69,%sPre-ignition Purge,,
160,24,1682.34,106.34,338.28,818.05,10.7,6.52,6.4,0,0,0,0,0,0,1,0,0,2.29,-0.06,11932.72,%sPre-ignition Purge,,
